Izvođač,Pjesma,Godina,Video ID
Bijelo Dugme,Ne spavaj mala moja muzika dok svira,1974,jQNO276n9AQ
Indexi,Bacila je sve niz rijeku,1974,AiQkXmiA-Rs
Zdravko Čolić,Glavo luda,1977,NNDtcPRw-5k
Riblja Čorba,Lutka sa naslovne strane,1978,toKLic68btk
Prljavo Kazalište,Crno bijeli svijet,1980,dw4kIjSzRWc
Novi Fosili,Najdraže moje,1980,5IJo_QB-RH4
Zdravko Čolić,Pusti pusti modu,1980,4iEH9jvGSqk
Oliver Dragojević,Nadalina,1980,LKoFtyXuADo
Šarlo Akrobata,Ona se budi,1981,B6OBVi1ATvY
Idoli,Maljčiki,1981,ngVQQI64YqA
Film,Zamisli život u ritmu muzike za ples,1981,h4HwjX0LRWM
Bijelo Dugme,Lipe cvatu,1984,81Gq_IRGXc4
Ekatarina Velika (EKV),Oči boje meda,1985,sePmPllTr4A
Zabranjeno Pušenje,Zenica Blues,1984,WJ1b_nkJE_I
Bajaga i Instruktori,220 u voltima,1984,K5OOu3Bqh_o
Plavi Orkestar,Bolje biti pijan nego star,1985,EGgjZ0Fb2wQ
Parni Valjak,Ugasi me,1985,5WtYwJ2HMEk
Magazin,Piši mi,1985,ZNUZBjg52F8
Dino Dvornik,Zašto praviš slona od mene,1988,kIAYPuMm4ho
Hari Mata Hari,Prsten i zlatni lanac,1988,_y-AfmDOnIg
Haustor,Ena,1985,i0AXUPQoeNk
Zana,Dodirni mi kolena,1982,QnF9-SaRCDU
Leb i Sol,Čuvam noć od budnih,1987,cZKAUc060Jg
Psihomodo Pop,Ja volim samo sebe,1988,MlLoatd4xC8
Valentino,Volim te još,1983,qAdpukQdUpU
Jasna Zlokić,Skitnica,1984,R9ev2QaACmQ
Oliver Mandić,Osloni se na mene,1978,Vm4NwHwxnvo
Mišo Kovač,Ako me ostaviš,1977,fmGt9B4CVlg
Boris Novković,Tamara,1986,58uQKppR4DU
Dino Merlin,Kad zamirišu jorgovani,1988,_8lBWeIYiqE
Vesna Zmijanac,Nevera moja,1986,TFNgHe5AEng
Lepa Brena,Miki Mićo,1986,ZYQnodVXKd4
ET (Electro Team),Tek je 12 sati,1993,BLJ0c7uUwKY
Knez,Da l' si ikada mene voljela,1994,bXhmO8XBNNg
Dino Dvornik,Afrika,1995,52WqR1yEbtg
Hladno Pivo,Pjevajte nešto ljubavno,1997,74vWMnABJyU
Tap 011,Zbog tebe (Gaće),1996,ryP8pJ-duVM
Mobi Dik,Kralj kokaina,1995,dkdq4fjW0U4
Severina,Trava zelena,1995,NX7mPZqHesQ
Gibonni,Tempera,1999,hJLKNe_qAJU
Petar Grašo,Ljubav sve pozlati,1997,O0hWIOM4_aE
Bajaga,Moji drugovi,1996,tcxTTad0XBY
Goran Karan,Lipa si lipa,1999,atBcQq8nGho
Zabranjeno Pušenje,Možeš imat' moje tijelo,1997,dHEkXMTOg94
Colonia,Svijet voli pobjednike,1999,_Uhnaa805U0
Ivan Gavrilović,200 na sat,1994,8p24yeNJjgM
Kasandra,Nisi ti jedini na svijetu,1995,NYD8jsE_mB8
Negative,Ja bih te sanjala,1999,WjloS9ZfnN4
Eyesburn,Fool Control,1999,luiLWdcuYrw
Sunshine,Misli mene gone,1996,IpQnaA7hZg8
Monteniggers,Ducka Diesel,1996,814MBIBuQ3c
Dragana Mirković,Baš tebe volim ja,1994,IdF-d4OZhoI
Željko Samardžić,Grlica,1995,Oeks3WZvj0M
Toni Cetinski,23. prosinac,1995,3WtXlJt1eiU
Danijela Martinović,Zovem te ja,1996,IvlcCWGMwD0
Aca Lukas,Kuda idu ljudi kao ja,1995,53QHjH6Qgb8
Toše Proeski,Čija si,2003,s4mmaHYZaU8
Željko Joksimović,Lane moje,2004,7eJJrPNF9d4
Severina,Gas gas,2008,9g7CtF6TKWk
Dubioza Kolektiv,Blam,2008,mInodWeOKTM
TBF,Alles Gut,2004,fR8s2-1VCls
S.A.R.S.,Buđav lebac,2009,Oi7r3-1CW2k
Edo Maajka,Prikaze,2004,6EvVth9piXo
Marcelo,Otkucaji,2005,Dbv3aTa9_Iw
Zdravko Čolić,Moja draga,2003,etsF939ABbg
Vlado Georgiev,Anđele,2001,BndUNrQuipY
Sergej Ćetković,Pogledi u tami,2005,AewukMITORQ
Jelena Karleuša,Slatka mala,2005,kcTohRwF9UE
Aca Lukas,Lična karta,2002,ueAX2icW3eA
Seka Aleksić,Crno i zlatno,2003,vVcgrQAspWU
Dino Merlin,Godinama,2000,VNDbAK3-drI
Darko Rundek,Makedo,2002,rHlpuJSxfe8
Jinx,Tamo gdje je sve po mom,2001,o7aOfoygz7c
Massimo,Sjaj u tami,2003,skUy-CbFZI0
Natali Dizdar,Ne daj,2005,3SVfz6Fc60k
Bajaga,Zmaj od Noćaja,2001,Ue2FwQSalbQ
Tijana Dapčević,Negativ,2002,_szjnvUPG0g
Ana Nikolić,Januar,2003,m_oXPTF8quk
Marija Šerifović,Molitva,2007,V5UUyePaEmg
Van Gogh,Kolo,2006,MvX6Pze8DpE
Hladno Pivo,Samo za taj osjećaj,2003,oyfpckwnQt4
Elemental,Iz dana u dan,2005,kK34Iy8siMc
Seka Aleksić,Aspirin,2007,TY3ojnZY5OE
Mile Kitić,Plava ciganko,2001,wvkdp-iigTM
Dara Bubamara,Zidovi,2007,oxsSXbCI2f8
Indira Radić,Lopov,2002,2HECjoT0yPg
Dubioza Kolektiv,Kažu,2011,q4RLp6b8kn0
Severina,Brad Pitt,2011,FFqAZv6Mck4
Jelena Rozga,Bižuterija,2010,eqm9L5P6r2s
2Cellos,Smooth Criminal,2011,S0AYqJuQCsA
Who See,Đe se kupaš,2014,ZF_6fyQcAKc
S.A.R.S.,Lutka,2013,STPs7bskQUI
Silente,Terca na tišinu,2013,7_XHGysA6Jk
Pavel,Čuvaj me,2014,6QCwMKRYsgI
Vojko V,Ne može,2018,WPY_T9OgMRM
Senidah,Slađana,2018,OnSawg7tOag
Jala Brat & Buba Corelli,Balenciaga,2018,_f5KOQAz_qY
Konstrakta,In Corpore Sano,2022,LVYZPtJKwiM
Buč Kesidi,Nema ljubavi u klubu,2018,3E2WwdXS0a0
Nika Turković,Gledaj me,2020,aOhWXcX_JVY
Z++,Ljeto već je gotovo,2019,CMXN1ab_D94
Milica Pavlović,Sexy Señorita,2014,R6_ohDcb60Q
Maya Berović,Devojka sa juga,2014,UjoM5U-XrX0
Relja Popović,Beograd još živi,2015,sV64w6fmHqk
Coby,Biseri iz blata,2018,WAGUynS_sic
Hurricane,Favorito,2019,9jh7nRSoYDA
Tea Tairović,Hajde,2021,cM_yen42FQ4
Aleksandra Prijović,Dam dam dam,2023,fMCTlZobDfw
Grše,Mamma Mia,2023,VCA3b0K3hrM
Let 3,Mama ŠČ!,2023,n0MZBxp8rIQ
Baby Lasagna,Rim Tim Tagi Dim,2024,ATEosPRL_BM
Haris Džinović,I tebe sam sit kafano,1991,UQOBCSG8_00
Halid Bešlić,Prvi poljubac,2003,SGjvYucOHvY
Hanka Paldum,Crne kose,1980,5YdmzlMGg5c
Miroslav Ilić,Devojka iz grada,1972,vUoKB3ZuCvE
Šaban Šaulić,Žal,2013,bBz8IrXJhjQ
Džej Ramadanovski,Nedelja,1991,fY6fyE3puJU
Zvonko Bogdan,Osam tamburaša,1975,VCGZ2UadhlU
Sinan Sakić,Ej otkad sam se rodio,1987,J8GRoscTKlw
Tozovac,Ti si me čekala,1983,fK4vIRhq1qs
Vesna Zmijanac,Kazni me kazni,1988,6gdyCH8wiwI
Esma Redžepova,Čaje Šukarije,1970,oX-y2FqSuj8
Luis,Opa opa,1988,iVVy7gwdjh8
Mile Kitić,Kraljica trotoara,1996,yNsrDvWRN7c
Dino Merlin,Mjesečina,1989,ZEGWPrPQqZw
Bijelo Dugme,Đurđevdan,1988,8XZudgx7IPw
Oliver Dragojević,Cesarica,1993,-vaiMwG_cEg
Vinko Coce,Vilo moja,1998,MSrxpF5GWGQ
Thompson,Lijepa li si,1998,6J3uSon0XNk
Bajaga,Ti se ljubiš na tako dobar način,1985,L7WJMWaJxco
Josipa Lisac,Magla,1980,CRD4Zh8JYTE
Indexi,Da sam ja netko,1970,WpG-VQiHwnM
EKV,Par godina za nas,1989,Fv-nGbjJcgg
Zabranjeno Pušenje,Pišonja i Žuga,1987,8Y2I7zg1hsg
Leo Martin,Odiseja,1973,Ii3Dia2EkJc
Zdravko Čolić,Pjevam danju pjevam noću,1978,s6N-AKG_S6c
Generacija 5,Ti samo budi dovoljno daleko,1979,NrNCjfXT-ts
Oliver Mandić,Pomagajte drugovi,1984,G9u8Ju1y9HA
Denis & Denis,Program tvog kompjutera,1984,dLK1wrrNug4
Video Sex,Detektivska priča,1984,YuOekH3AiXY
Marina Perazić,Kolačići,1987,khsl-DCa-U0
Boris Novković,Dok svira radio,1988,v9nRUKTb_lc
